Company,Symbol,Statement,Section,Metric,Year,Value,Unit,Source
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Financing Activity,2020,-5673,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Financing Activity,2021,-17168,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Financing Activity,2022,-9666,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Financing Activity,2023,-11026,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Financing Activity,2024,-26885,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Financing Activity,2025,-27897,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Investing Activity,2020,-9452,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Investing Activity,2021,-1807,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Investing Activity,2022,-5010,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Investing Activity,2023,-16895,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Investing Activity,2024,3104,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Investing Activity,2025,1645,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Operating Activity,2020,14751,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Operating Activity,2021,19369,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Operating Activity,2022,19109,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Operating Activity,2023,25223,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Operating Activity,2024,25067,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Cash from Operating Activity,2025,28593,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Net Cash Flow,2020,-374,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Net Cash Flow,2021,394,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Net Cash Flow,2022,4433,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Net Cash Flow,2023,-2698,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Net Cash Flow,2024,1286,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Cash Flow,Summary,Net Cash Flow,2025,2341,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Depreciation,2020,1349,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Depreciation,2021,1799,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Depreciation,2022,1888,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Depreciation,2023,1987,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Depreciation,2024,2014,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Depreciation,2025,2056,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Dividend Payout %,2020,33,INR,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Dividend Payout %,2021,78,INR,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Dividend Payout %,2022,35,INR,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Dividend Payout %,2023,35,INR,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Dividend Payout %,2024,37,INR,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Dividend Payout %,2025,36,INR,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,EPS in Rs,2020,48.92,INR,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,EPS in Rs,2021,50.68,INR,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,EPS in Rs,2022,61.58,INR,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,EPS in Rs,2023,66.71,INR,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,EPS in Rs,2024,67.46,INR,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,EPS in Rs,2025,83.87,INR,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Expenses,2020,56657,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Expenses,2021,70167,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Expenses,2022,77969,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Expenses,2023,85655,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Expenses,2024,90588,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Expenses,2025,106957,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Interest,2020,39,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Interest,2021,104,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Interest,2022,33,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Interest,2023,32,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Interest,2024,52,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Interest,2025,198,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Net Profit,2020,19332,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Net Profit,2021,20060,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Net Profit,2022,24338,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Net Profit,2023,26357,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Net Profit,2024,25880,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Net Profit,2025,31562,INR Crores,Screener.in
