source,text,sentiment
news,"IBM to Acquire Confluent to Accelerate Hybrid Cloud and AI Strategy - Elets CIO <a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxNQ1dXd3ltYW4ybnVxcHhlVUVvd0xGWV9oanJiSnhLaUdhNmhtZzRLSEhqVFFLNDJZV09Ec0RNNWVpREt6TzNVd0lmQjJNSHJPVkRnb0RERFVkS0gyM2NMYnI5RnRXaWMtRmthMXZVMzYxWnpPWjZZbXpZYnRyUHBGOHJOaHNoWW81WHo0ZGZkMTJLZ3pZRVpNeTk4V2otNnM4c25nSm5EaDZMbVk?oc=5"" target=""_blank"">IBM to Acquire Confluent to Accelerate Hybrid Cloud and AI Strategy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Elets CIO</font>",0.0
news,"IBM CEO to Google, Amazon, Microsoft and other tech companies: Does not make sense to ... - The Times of India <a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxNd1dkQTVsTW1MVEpIWTYyY1Z2bDBUdnRsNXg2bFJxSmxLeDRSTHRLRllWUWlsSmVaLUZJMVBxUkZHcDZLdHR6aThYbmg3Qk9XTnVDSzRjaHV2djRndTdHT283ampYMmRHYlBvaEQ1S1RWbWhENGtCSzZoazJEbFc2akE2VmE2NDl0NDdRcF9QQUk5ckNGTERiX0JJeVpyMHc4clB0bGkxUWZoNklobURKb3UxTFZkYV8tcWltRUszeC1XODVRcFRFeTViNXY2ME1qNUU1R29BY1VCalRXS2pXdU43UkVVaXJDdU9xY0ZjRktnaVdTNkotRTNn0gH_AUFVX3lxTE1UQ2sxUDFWenNwZlRCYS15ZkJ4Q2hUcUFSNGJPUkNPRno4cXplNWFKNVBMMGxTcmUyVGdiQk5jdEcwbVlwWENtblpBc28zY25hTndTR2VnZHhuMHJGWDUyX1BKSURoaHROWjdqTWhLSTlMUWdwNFpHeWJiRkRpWTdBazcwaG9EV1hlUV8tS2V6NFhFTU5QN2l4Z0tFa2JBU2tBMmZmbWFvOFByMWFMUnFxczVCTzR1U2I5TlZrdFNySUgxUUJhYVRSeWxWdERNNlY0dnpIUVE3QUNxZnNILVo4UW41TFRuTXJ6T3dIRDFjNGQ0QW45Z3F6aDhtRjRpUQ?oc=5"" target=""_blank"">IBM CEO to Google, Amazon, Microsoft and other tech companies: Does not make sense to ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",0.34
news,"Five Key Reasons Why Confluent Is Strategic To IBM - The Futurum Group <a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxOQnhFQ203RTBxYktHVlBBeGV5NHVRQ0ZxNlpfQm1SNkxwTXFuYlJGbmxZMmFlVDhwdmV2OUs0Nm1aSE9aZzJMQ19jSlhZalhISmYxRU1JR1VPd29sVzM1Vzh1RkwxWUNTWXV5bG15bWFRRnpzMGJ3bWpBT216OF9VTXo3NXFtNFQxV1YtdHBR?oc=5"" target=""_blank"">Five Key Reasons Why Confluent Is Strategic To IBM</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Futurum Group</font>",0.0
news,"IBM Acquires Confluent at $11BN to Boost Real-Time Data Accessibility - CX Today <a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxPblZacGJpdjhTdFFwY2R2ZDV4bUpkSjJzd3FSM1VXX1F6amRJWU1BaHRQblBkU0h3REI5aks0V3VKRWZEdXV4Q09FVXl5VEo0N2Y4SGU2elNuNDVuZWZ4RFVYOTdabGJMMUNRS2M0YlVobVAtMkp4VEtaMUlLazVOUXE0bFRsQ3hFVWtjbjB4YTlhNTkyVzhRdWNLNEFwdnJnMnlaU2NocUFzTXNo?oc=5"" target=""_blank"">IBM Acquires Confluent at $11BN to Boost Real-Time Data Accessibility</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CX Today</font>",0.6597
news,"IBM moves to buy Confluent in an $11 billion cloud and AI deal - Cloud Computing News <a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNRk1IYkozYm9OWUExeThOQjJNU1gyZzYwczlDSnZRcUg1X2JrMklWYlZnTHhSSFZZekVFdVROamhSNnNCWk14N0UydW4xQUVBXzNobGQ5VVNJeTRHZUYzRjM5dXRTRURBcE5Ia2pnWllxUmk3b3J6TlR2WFZzZXNDMDBqU3JDcXJqWmJyMGNZVms2cVhJS2xKb0sxenFMbmhtS2ZjeTR3?oc=5"" target=""_blank"">IBM moves to buy Confluent in an $11 billion cloud and AI deal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Cloud Computing News</font>",0.0
news,"IBM CEO Questions Profitability of AI Data Centre Boom - AI Magazine <a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxNd3BqbHgyZk96ZFhvSjFfOGhudW5qSXNiRnN5OU5Rbzg2UTlnSllXNWpiamdfRHZJS2thYmVQZVZ3b2FVV0JpVmxPeVV2UzhVYmlBbVdQNVphM0dERTlWdnpUMGZzalZmWGVlcWR2d3hjU1ROOWpsMjhuMTFvQjZCa01RWkFPcGh2SDBRLUV5ZHM?oc=5"" target=""_blank"">IBM CEO Questions Profitability of AI Data Centre Boom</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AI Magazine</font>",0.4939
news,"IBM initiates global review of $330 mn media account; WPP Media opts out of defence - bestmediainfo.com <a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxQaG1CaWloU2xhc0hmaW5rSlJWenZRSnZ2SmNydGtOTV9scGYxbXVoTmZuUmVkOHVMY19uU0M2eE1SN1A4amkyZ1o4Yi1KS2lteWRDNjcxSmdzWXB6MHZkMDdUSzVHQWdXYS1fM21zZkdTLVJHa3VNeWQzNDZYMDlmZjg0Q0ZFSzVVTmtXcW1yd0t2UXhtQ2xQak5ROWtzVHdNN0hOY2MtWTQ0aHlTbW9faUtSOU94RzBtMnY2d3AtUnY1eUdWZGpRV2JwYnZqandOaEpZedIB1AFBVV95cUxQaG1CaWloU2xhc0hmaW5rSlJWenZRSnZ2SmNydGtOTV9scGYxbXVoTmZuUmVkOHVMY19uU0M2eE1SN1A4amkyZ1o4Yi1KS2lteWRDNjcxSmdzWXB6MHZkMDdUSzVHQWdXYS1fM21zZkdTLVJHa3VNeWQzNDZYMDlmZjg0Q0ZFSzVVTmtXcW1yd0t2UXhtQ2xQak5ROWtzVHdNN0hOY2MtWTQ0aHlTbW9faUtSOU94RzBtMnY2d3AtUnY1eUdWZGpRV2JwYnZqandOaEpZeQ?oc=5"" target=""_blank"">IBM initiates global review of $330 mn media account; WPP Media opts out of defence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">bestmediainfo.com</font>",0.1027
news,"IBM's Confluent buy has observability, IT ops implications - TechTarget <a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxOdkUxS21OZXVwZ2gwdlJlTE5yR3RsSUluajJXRDhTai1NRzF3bzBtbEF1dEdkOWhfM2hUSHZQUXlDWElkM2x1bFFiXzBBU2dRSE82OHczeHpyS0R1QW9JSUxTdnVLVElNcng1ZV9RYURnNTVMNDlvaXVMcjdVX1hMV2ZVcXpXVFE1OVdsbjI2WnJZVjl3UU1CQi1QdU1IVWV6c2Q4MHBJTzY5WnY5T1BVcWZUclM2Q1lu?oc=5"" target=""_blank"">IBM's Confluent buy has observability, IT ops implications</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TechTarget</font>",0.0
news,"IBM To Acquire Confluent In $11 Bn Deal - BW Businessworld <a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxOeW52MjJhcEl5OGt6LVNNb21ianVLWXR0c1ByWG9iUWJjWWRrdWg5QWFaT1JfMXppZFV4c2JpMW9KMDEwTzdVT19Oc19OaF9LQ0hXNXk0R3lISDdCbUdudGhKMTM3SmJ5ZmVlWm9JRjNQZV9ocGxwX2FDc2pfRWRpZjl1MHBoM3JWaGc?oc=5"" target=""_blank"">IBM To Acquire Confluent In $11 Bn Deal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BW Businessworld</font>",0.0
news,"Ensuring Accuracy in LLM-Generated Hardware Logic Design Automation (IBM Research) - Semiconductor Engineering <a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxQVkZDLU5kU2Z6d3doTVY1M29MbG1qT0VBOXN1N2ZHOGdlRnhlcThSRml4ZVNuS081dVl6dnRiLVJDZGJvOE5wZ3dMdlRjYzJoN00zUi0zUkk1Yi1kOW1SQVlCVlNhbXNqczc1eTNFZHYtT0p5ZG1pRnpMMDNqVk5pblUxZDhKUHc3ZVhtY3l5cEtGU3p1QTA4b2txOXk0NjBnanZ3NVJXSVM1dE9uY0E?oc=5"" target=""_blank"">Ensuring Accuracy in LLM-Generated Hardware Logic Design Automation (IBM Research)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Semiconductor Engineering</font>",0.2732
news,"IBM in Advanced Talks to Acquire Confluent - ERP Today <a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTE5CRnV0TVFfOFJsQVVCcVpmMERHSmZDOGVqd0dhbkdNaW5kQjc5QlE0WDZyZWpNbDlpWU9oRV84R2JfdmUxTDJ4dmRwTDhxV3ZkUDROanRRYnEtX0EzWm1TUW0wcV9ITUF0TnZKc0xR?oc=5"" target=""_blank"">IBM in Advanced Talks to Acquire Confluent</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ERP Today</font>",0.4588
news,"IBM accelerates cloud drive with $11 billion Confluent deal as AI demand booms - Reuters <a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxQTWNkdTFLeHpMOTFjVkVDdFNZVGpXcHpmdjZCQkR4NTR5UkNaVVJBbmZWSHFCa1NLQ2RyUkpLd0FTbnBGWEctR21pclZTSzJlR2Q1M1NQTElVazZzWW5BTnlYZ01TYlN2UjltUWFGaFhwa0pkRGJqa2d5WVNoN1Ayc1RFdzZHdWc1aFc4ZGJGLW9BYUtVWDM3VXZtU0hfN2NkVEZqT0EySG51em81TUZ4Tw?oc=5"" target=""_blank"">IBM accelerates cloud drive with $11 billion Confluent deal as AI demand booms</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",-0.25
