source,text,sentiment
youtube,"TCS has always maintained professionalism and job security.
They’ve ensured timely salaries and fair increments for decades.
Even the current layoffs are being handled transparently and fairly.
Employees receive proper notice and full settlements on time.
Truly commendable consistency from a private company for 40+ years.",0.765
youtube,All lies.. (As TCSers iam telling you),-0.4215
youtube,Leadership is weak in tcs...probably this guy might better fit for an SME ceo,0.3612
youtube,"Kindly resign and go, we don't want you",0.1476
youtube,"Dei, STOP Layoff immediately",-0.4466
youtube,"TCS  never  worked for self relining products which can secure job of its employess all they ever bothered is their pockets ,Ratan tata is best they waited and now after his passaway want to fill all money before his brother come into seat....CEO is waste he just work for his pocket ...layoff will increase profit which in trun raise value of divident so that they can make money from as they are major stake holders all this is game....the worest ever CEO ...",0.8555
youtube,People with fat salaries to take the bad news and repercussion first. Lead by example,-0.5423
youtube,Please release the result TCS nqt 2025 more than 6 months waiting for just result not for jl,0.3182
youtube,"Worst ceo of tcs ,,,making tcs from brnd to lala company ,,,he should be kick off from tcs ,,, responsible for many forceful resign, lying in front of media ,,top candidates forcefully resigned with the name of ai restructuring.",-0.8316
youtube,Lol whatever 😂,0.6908
youtube,More job cuts for India needed 🇮🇳 farming is available 👳🏾‍♂️,-0.3566
youtube,"It's already out man, you might not have been selected.",0.0
youtube,No they were never paid it seems and yes loss of strategy. Ratan was a ratan all the way .  A superstar,-0.2023
youtube,"After he took over, there were so many issues coming up. Thank fully I decided to move out proactively before falling into this trap.",-0.1027
youtube,"From the facial expression and overall body language, this person looks extremely negative and pessimistic in his personality...no wonder why TCS is not doing well ! This is the answer why..",-0.8344
youtube,"Seriously, is he the CEO? HOW dumb!!! He can't even speak properly. My deepest condolences TCS.",-0.7074
youtube,TCS is Crap after TATA demise. This guy make sureno employees will get any benefit,0.1027
youtube,Always a South Indian...God knows why???,0.0
youtube,Still nothing to add in terms of innovation,0.3818
youtube,"When a dull guy who can't even look in the camera is made ceo, its the start of the end.",-0.4019
youtube,companies will make fat profits - only  employees will  suffer,-0.1531
youtube,Worst CEO...Taken people's job and made them helpless before thinking about their family,-0.7964
youtube,"I’m disappointed in the answer he gave for freshers! He should be saying that students should be knowing AI. Why’s is he thinking AI is better than basic science, critical thinking, logical reasoning etc? What made him think in that way?",-0.4857
youtube,Retirement age of a software professional is 40 years only. Always have Plan B in place.,0.0
youtube,TCS must be more humane in HR & rrtrenchment matters 😮!,0.1007
youtube,"After we lost Mr. Ratan Tata the entire Group is haywire. Be it the unfortunate Air India Crash, Mass Layoffs & high attrition and much more. The Group needs better visionary leaders who can drive the wheels to success. JSK",0.4588
youtube,Very nice interview 😊!,0.8641
youtube,1 % growth in BFSI Sector - After making so much job cuts...,0.0352
youtube,A dejected face isn't a good sign. Is he constipated ?,-0.6814
youtube,"With AI, companies will need lot less employees. TCS business model is in jeopardy. AI creating  “Lakhs of jobs” is very very unlikely. 

India in general needs to curb population drastically. It will be huge tragedy otherwise..",-0.6124
youtube,"Some of these individuals hold seemingly meaningless MBA degrees and sit at the top of management or become a CEO or whatever the top position they could climb up to without any real vision. They hire people with the hope of growth, but due to poor planning and strategy—or after a crisis—they end up laying off employees just to boost their own shares, salaries, and bonuses. It’s unclear what they actually learn during their MBA after waste of money and time and earning a bogus degree, which increasingly feels like a degree used only to secure a hefty pay package. Why hire so many people if you're uncertain about the future? If you can't support your employees during tough times, then what's the point of claiming that TCS is one of the best service companies in the world? 
This TCS CEO himself is not confident about his own company and seems clueless about what the next 5 to 10 years will look like. He throws out vague numbers without any confidence and really does not know what would happen in the technology field. In another 3 to 4 years, this same person will likely impose harsh measures on employees due to his lack of vision and poor strategy—and once again, the employees will bear the cost. 
Shame on these CEOs.!!!!",-0.9537
youtube,AI is worst,-0.6249
youtube,Yes. Someone who is super techie can survey up to 50,0.765
youtube,More job cuts 🇮🇳🫵,-0.3566
youtube,More job cuts needed 🇮🇳,-0.3566
youtube,"Heccch won 
Heecch two
😅😂😢
Aey eye
DO maain
DayyTaa 
Woriginal
😅😅😅
Working with customers
Training our #associates 😅

Future Tcs",0.9325
youtube,Looks at the dumb way he is talking. Zero energy and zero passion in words. No eye contact.,-0.1027
youtube,"5 pillar strategy it seems... the main problem is these leadership never gives way to the newer ideas and generation. Fcuking services companies infosys, wipro and TCS has ruined the engineers.

The young generation and their parents is ok if their kids work in these services companies but not in a young startup with innovation first approaches",0.2732
youtube,Do not join this 3rd class company,-0.2235
youtube,AI is just a bluff TCS should first fire the onsite client relationship and people managers. They work as a govt company and dont have much skillset and also they dnt let the high performing employees grow.,-0.34
youtube,Looks like a crook,0.3612
youtube,"This is complete bull shit, the CEO is telling lie. He only knows to remove people from thee company for showing growth and he may sell TATA  company very soon as the results are not true.. I amount an employee of TCS and  there were lot of employee kicked out of the company.",-0.5158
youtube,U need to spend money to get top talent .. to build top ai products . That is not gonna happen,0.6597
youtube,Please resign as tcs deserves a better ceo. Clearly leadership is loosing here,0.6705
youtube,"Everybody knows TCS is pay below market standard. People joined TCS for job safety.
Now that’s gone people will think 10 times before joining.
The CEO of TCS soft skill is bad like an entry level engineer. 😂",0.5106
youtube,I don’t know why but he doesn’t speak like a ceo. You are talking like a project manager not a ceo.,0.7579
youtube,"The only and worst CEO in the history of TCS.He is finishing everything at TCS.They are lying to the media. Every day, the authorities are forcing more than one employee to resign. Otherwise, they are being fired.",-0.926
youtube,Lying. Totally misleading statement on layoff numbers.. Forcefully laid off even people were good performers. Kept on bench and didn't provide allocation.  The truth should come outside.,-0.2944
youtube,"He will definitely have some strengths. But the way he is talking, i am surprised that he is made CEO!!!",0.7119
